FOOD_CODE,FOOD_NAME,ENERGY
D010171,포테이토 더블치즈엣지(오리지널 M),362
D010172,핫치킨(오리지널 L),422
D010173,핫치킨(오리지널 M),287
D010174,핫치킨(나폴리L),346
D010175,핫치킨(나폴리M),466
D010176,핫치킨(씬 L),274
D010177,핫치킨(씬 M),410
D010178,핫치킨(슈퍼시드 함유 도우L),323
D010179,핫치킨(슈퍼시드 함유 도우M),297
D010180,핫치킨 더블치즈엣지(오리지널 L),361
D010181,핫치킨 더블치즈엣지(오리지널 M),356
D010182,먹물 오징어링,441
D010183,슈퍼곡물 치킨(10조각),650
D010184,옥수수 버터구이(6개),481
D010185,치킨퐁듀 그라탕,370
D010186,퀴노아 치킨 샐러드,827
D010187,트러플 리조또,121
D010188,포테이토 순살치킨(3조각),650
D010189,프레시 코울슬로,729
D010190,프레시 콘샐러드,133
D010191,프렌치 라따뚜이,135
D010192,하프 하프 스파게티 (NEW 치즈   화이트 크림),382
D010193,화이트 크림 스파게티,705
D010194,NEW 치즈 볼로네즈 스파게티,851
D010203,티본스테이크 쉬림프(클래식)M,433
D010204,티본스테이크 쉬림프(클래식)L,226
D010205,티본스테이크 쉬림프(크런치)M,292
D010206,티본스테이크 쉬림프(크런치)L,292
D010207,티본스테이크 쉬림프(리치골드)M,286
D010208,티본스테이크 쉬림프(리치골드)L,274
D010209,티본스테이크 쉬림프(치즈크러스트)M,260
D010210,티본스테이크 쉬림프(치즈크러스트)L,254
D010211,더블치즈 티본스테이크(클래식)M,466
D010212,더블치즈 티본스테이크(클래식)L,471
D010213,더블치즈 티본스테이크(크런치)M,284
D010214,더블치즈 티본스테이크(크런치)L,285
D010215,더블치즈 티본스테이크(리치골드)M,282
D010216,더블치즈 티본스테이크(리치골드)L,267
D010217,더블치즈 티본스테이크(치즈크러스트)M,257
D010218,더블치즈 티본스테이크(치즈크러스트)L,248
D010219,쉬림프올인(클래식)M,392
D010220,쉬림프올인(클래식)L,207
D010221,쉬림프올인(크런치)M,274
D010222,쉬림프올인(크런치)L,290
D010223,쉬림프올인(리치골드)M,274
D010224,쉬림프올인(리치골드)L,270
D010225,쉬림프올인(치즈크러스트)M,247
D010226,쉬림프올인(치즈크러스트)L,249
D010227,갈릭버터쉬림프(클래식)M,440
D010228,갈릭버터쉬림프(클래식)L,233
D010229,갈릭버터쉬림프(크런치)M,294
D010230,갈릭버터쉬림프(크런치)L,312
D010231,갈릭버터쉬림프(리치골드)M,294
D010232,갈릭버터쉬림프(리치골드)L,293
D010233,갈릭버터쉬림프(치즈크러스트)M,266
D010234,갈릭버터쉬림프(치즈크러스트)L,271
D010235,토핑킹(크런치)M,297
D010236,토핑킹(크런치)L,310
D010237,토핑킹(리치골드)M,297
D010238,토핑킹(리치골드)L,291
D010239,토핑킹(치즈크러스트)M,270
D010240,토핑킹(치즈크러스트)L,269
D010241,치즈킹(크런치)M,322
D010242,치즈킹(크런치)L,331
D010243,치즈킹(리치골드)M,322
D010244,치즈킹(리치골드)L,311
D010245,치즈킹(치즈크러스트)M,295
D010246,치즈킹(치즈크러스트)L,290
D010247,큐브스테이크(크런치)M,304
D010248,큐브스테이크(크런치)L,321
D010249,큐브스테이크(리치골드)M,304
D010250,큐브스테이크(리치골드)L,301
D010251,큐브스테이크(치즈크러스트)M,276
D010252,큐브스테이크(치즈크러스트)L,280
D010253,갈릭마블 스테이크(크런치)M,284
D010254,갈릭마블 스테이크(크런치)L,300
D010255,갈릭마블 스테이크(리치골드)M,284
D010256,갈릭마블 스테이크(리치골드)L,300
D010257,갈릭마블 스테이크(치즈크러스트)M,257
D010258,갈릭마블 스테이크(치즈크러스트)L,259
D010259,쉬림프 스테이크 올인(크런치)M,278
D010260,쉬림프 스테이크 올인(크런치)L,294
D010261,쉬림프 스테이크 올인(리치골드)M,292
D010262,쉬림프 스테이크 올인(리치골드)L,290
D010263,쉬림프 스테이크 올인(치즈크러스트)M,250
D010264,쉬림프 스테이크 올인(치즈크러스트)L,253
D010265,직화불고기(크런치)M,296
D010266,직화불고기(크런치)L,308
D010267,직화불고기(리치골드)M,296
D010268,직화불고기(리치골드)L,289
D010269,직화불고기(치즈크러스트)M,536
D010270,직화불고기(치즈크러스트)L,535
D010271,수퍼슈프림(크런치)M,285
D010272,수퍼슈프림(크런치)L,309
D010273,수퍼슈프림(리치골드)M,283
D010274,수퍼슈프림(리치골드)L,289
D010275,수퍼슈프림(치즈크러스트)M,256
D010276,수퍼슈프림(치즈크러스트)L,267
D010277,베이컨포테이토(크런치)M,313
D010278,베이컨포테이토(크런치)L,333
D010279,베이컨포테이토(리치골드)M,311
D010280,베이컨포테이토(리치골드)L,313
D010281,베이컨포테이토(치즈크러스트)M,284
D010282,베이컨포테이토(치즈크러스트)L,291
D010283,직화불고기L,445
D010284,페페로니M,339
D010285,페페로니L,404
D010286,수퍼슈프림L,445
D010287,치즈M,346
D010288,치즈L,411
D010293,콘샐러드,100
D010294,코울슬로,87
D010296,크림치킨파스타,633
D010297,상하이쉬림프파스타,498
D010298,팝콘치킨,416
D010299,치즈볼,413
D010300,오리지날 윙 4조각,270
D010301,오리지날 윙 8조각,540
D010302,스파이시윙 4조각,373
D010303,스파이시윙 8조각,643
D010304,치킨텐더 4조각,283
D010305,치킨텐더 8조각,567
D010306,리치치즈파스타,690
D010307,그뤼에르 퐁듀소스,106
D010308,치즈크러스트 디핑소스,60
D010309,핫소스,1
D010310,바른생피클 L,50
D010311,바른생피클 M,55
D010312,갓치킨L(바삭한 크런치),410
D010313,갓치킨L(쫄깃한 클래식),381
D010314,순삭포테이토L(바삭한 크런치),496
D010315,순삭포테이토L(쫄깃한 클래식),353
D010316,케미콤보(쫄깃한 클래식),371
D010317,케미콤보(바삭한 크런치),306
D010318,폭폭치즈L(쫄깃한 클래식),413
